Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-17,176.49,178.9365,176.41,178.24,26605442.0,0.0,1.0,176.49,178.9365,176.41,178.24,26605442.0
2018-04-16,175.0301,176.19,174.8301,175.82,21578420.0,0.0,1.0,175.0301,176.19,174.8301,175.82,21578420.0
2018-04-13,174.78,175.84,173.85,174.73,25124255.0,0.0,1.0,174.78,175.84,173.85,174.73,25124255.0
2018-04-12,173.41,175.0,173.04,174.14,22889285.0,0.0,1.0,173.41,175.0,173.04,174.14,22889285.0
2018-04-11,172.23,173.9232,171.7,172.44,22431640.0,0.0,1.0,172.23,173.9232,171.7,172.44,22431640.0
2018-04-10,173.0,174.0,171.53,173.25,28614241.0,0.0,1.0,173.0,174.0,171.53,173.25,28614241.0
2018-04-09,169.88,173.09,169.845,170.05,29017718.0,0.0,1.0,169.88,173.09,169.845,170.05,29017718.0
2018-04-06,170.97,172.48,168.2,168.38,35005290.0,0.0,1.0,170.97,172.48,168.2,168.38,35005290.0
2018-04-05,172.58,174.2304,172.08,172.8,26933197.0,0.0,1.0,172.58,174.2304,172.08,172.8,26933197.0
2018-04-04,164.88,172.01,164.77,171.61,34605489.0,0.0,1.0,164.88,172.01,164.77,171.61,34605489.0
2018-04-03,167.64,168.7455,164.88,168.39,30278046.0,0.0,1.0,167.64,168.7455,164.88,168.39,30278046.0
2018-04-02,167.88,168.94,164.47,166.68,37586791.0,0.0,1.0,167.88,168.94,164.47,166.68,37586791.0
2018-03-29,167.805,171.75,166.9,167.78,38398505.0,0.0,1.0,167.805,171.75,166.9,167.78,38398505.0
2018-03-28,167.25,170.02,165.19,166.48,41668545.0,0.0,1.0,167.25,170.02,165.19,166.48,41668545.0
2018-03-27,173.68,175.15,166.92,168.34,40922579.0,0.0,1.0,173.68,175.15,166.92,168.34,40922579.0
2018-03-26,168.07,173.1,166.44,172.77,37541236.0,0.0,1.0,168.07,173.1,166.44,172.77,37541236.0
2018-03-23,168.39,169.92,164.94,164.94,41028784.0,0.0,1.0,168.39,169.92,164.94,164.94,41028784.0
2018-03-22,170.0,172.68,168.6,168.85,41490767.0,0.0,1.0,170.0,172.68,168.6,168.85,41490767.0
2018-03-21,175.04,175.09,171.26,171.27,37054935.0,0.0,1.0,175.04,175.09,171.26,171.27,37054935.0
