Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-17,87.48,88.17,87.41,87.9,6801062.0,0.0,1.0,87.48,88.17,87.41,87.9,6801062.0
2018-04-16,86.2,87.65,86.1201,86.84,7017764.0,0.0,1.0,86.2,87.65,86.1201,86.84,7017764.0
2018-04-13,85.89,86.27,85.1901,86.02,7558871.0,0.0,1.0,85.89,86.27,85.1901,86.02,7558871.0
2018-04-12,86.19,86.83,85.41,85.43,6852069.0,0.0,1.0,86.19,86.83,85.41,85.43,6852069.0
2018-04-11,86.0,86.86,85.8,85.91,6051967.0,0.0,1.0,86.0,86.86,85.8,85.91,6051967.0
2018-04-10,86.84,87.1,85.66,86.45,9148310.0,0.0,1.0,86.84,87.1,85.66,86.45,9148310.0
2018-04-09,86.85,87.45,86.24,86.28,8368142.0,0.0,1.0,86.85,87.45,86.24,86.28,8368142.0
2018-04-06,86.83,87.9,86.13,86.69,6347123.0,0.0,1.0,86.83,87.9,86.13,86.69,6347123.0
2018-04-05,87.6,88.345,87.05,87.81,6354105.0,0.0,1.0,87.6,88.345,87.05,87.81,6354105.0
2018-04-04,85.6,87.495,85.44,87.22,6535455.0,0.0,1.0,85.6,87.495,85.44,87.22,6535455.0
2018-04-03,86.25,86.95,85.55,86.8,9694776.0,0.0,1.0,86.25,86.95,85.55,86.8,9694776.0
2018-04-02,88.0,88.24,84.84,85.55,19128893.0,0.0,1.0,88.0,88.24,84.84,85.55,19128893.0
2018-03-29,87.9,89.34,87.77,88.97,9274565.0,0.0,1.0,87.9,89.34,87.77,88.97,9274565.0
2018-03-28,86.26,88.24,86.19,87.77,11576255.0,0.0,1.0,86.26,88.24,86.19,87.77,11576255.0
2018-03-27,87.96,88.04,85.48,86.05,6545769.0,0.0,1.0,87.96,88.04,85.48,86.05,6545769.0
2018-03-26,86.22,87.69,86.11,87.5,9199774.0,0.0,1.0,86.22,87.69,86.11,87.5,9199774.0
2018-03-23,87.35,87.74,85.28,85.42,10125050.0,0.0,1.0,87.35,87.74,85.28,85.42,10125050.0
2018-03-22,87.53,88.27,86.99,87.14,12248169.0,0.0,1.0,87.53,88.27,86.99,87.14,12248169.0
2018-03-21,87.89,89.68,87.68,88.18,11836041.0,0.0,1.0,87.89,89.68,87.68,88.18,11836041.0
